,Train loss,Train accuracy,Val accuracy,Epoch,Learning rate,Weight decay rate,Batch size
0,0.3404754839160225,0.8550865800865801,0.6505265567765567,4,2e-05,0.4,32
1,0.021969617858783,0.9931818181818182,0.5791552197802198,8,2e-05,0.3,32
2,0.0709588117050853,0.9761363636363636,0.5952953296703296,6,2e-05,0.2,32
3,0.0709588117050853,0.9761363636363636,0.5952953296703296,6,2e-05,0.1,32
4,0.0709588117050853,0.9761363636363636,0.5952953296703296,6,2e-05,0.01,32
5,0.6866389946504072,0.5922077922077922,0.5046359890109889,1,2e-05,0.001,32
6,0.6877349690957503,0.547077922077922,0.5046359890109889,1,2e-07,0.4,32
7,0.6877349690957503,0.547077922077922,0.5046359890109889,1,2e-07,0.3,32
8,0.6877349690957503,0.547077922077922,0.5046359890109889,1,2e-07,0.2,32
9,0.6877349690957503,0.547077922077922,0.5046359890109889,1,2e-07,0.1,32
10,0.6877349690957503,0.547077922077922,0.5046359890109889,1,2e-07,0.01,32
11,0.6877349690957503,0.547077922077922,0.5046359890109889,1,2e-07,0.001,32
12,0.134170638463859,0.9592633928571428,0.6043858853410741,7,2e-05,0.4,64
13,0.0431429297896102,0.9860225340136054,0.6183100507982584,9,2e-05,0.3,64
14,0.134170638463859,0.9592633928571428,0.6043858853410741,7,2e-05,0.2,64
15,0.134170638463859,0.9592633928571428,0.6043858853410741,7,2e-05,0.1,64
16,0.134170638463859,0.9592633928571428,0.6043858853410741,7,2e-05,0.01,64
17,0.134170638463859,0.9592633928571428,0.6043858853410741,7,2e-05,0.001,64
18,0.6528870995555606,0.6160182823129252,0.5026759796806967,3,2e-07,0.4,64
19,0.6698992380074092,0.601828231292517,0.5026759796806967,3,2e-07,0.3,64
20,0.6698992380074092,0.601828231292517,0.5026759796806967,3,2e-07,0.2,64
21,0.6698992380074092,0.601828231292517,0.5026759796806967,3,2e-07,0.1,64
22,0.6698992380074092,0.601828231292517,0.5026759796806967,3,2e-07,0.01,64
23,0.6698992380074092,0.601828231292517,0.5026759796806967,3,2e-07,0.001,64
24,0.0517553528786679,0.9892045454545456,0.5872596153846155,12,2e-05,0.4,16
25,0.0517553528786679,0.9892045454545456,0.5872596153846155,12,2e-05,0.3,16
26,0.0517553528786679,0.9892045454545456,0.5872596153846155,12,2e-05,0.2,16
27,0.0517553528786679,0.9892045454545456,0.5872596153846155,12,2e-05,0.1,16
28,0.0517553528786679,0.9892045454545456,0.5872596153846155,12,2e-05,0.01,16
29,0.0517553528786679,0.9892045454545456,0.5872596153846155,12,2e-05,0.001,16
30,0.4824983228336681,0.7930681818181818,0.5896634615384616,39,2e-07,0.4,16
31,0.4619861323725093,0.7994318181818182,0.5896634615384616,45,2e-07,0.3,16
32,0.4824983228336681,0.7930681818181818,0.5896634615384616,39,2e-07,0.2,16
33,0.4824983228336681,0.7930681818181818,0.5896634615384616,39,2e-07,0.1,16
34,0.482498,0.793068,0.589663,39,2e-07,0.01,16
35,0.4824983228336681,0.7930681818181818,0.5896634615384616,39,2e-07,0.001,16
